Artist,Genre,Lyrics,Song,Years
Avril Lavigne,pop,"I can be tough, I can be strong
But with you, it's not like that at all
There's a girl that gives a shit
Behind this wall, you just walk through it

And I remember all those crazy things you said
You left them running through my head
You're always there, you're everywhere
But right now I wish you were here

All those crazy things we did
Didn't think about it, just went with it
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

I love the way you are
It's who I am, don't have to try hard
We always say, say it like it is
And the truth is that I really miss

All those crazy things you said
You left them running through my head
You're always there, you're everywhere
But right now I wish you were here

All those crazy things we did
Didn't think about it, just went with it
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

No, I don't wanna let go, I just wanna let you know
That I never wanna let go, let go, oh, oh
No, I don't wanna let go, I just wanna let you know
That I never wanna let go, let go, let go, let go
Let go, let go, let go, let go, let go, let go
Let go, let go, let go

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here

Damn, damn, damn
What I'd do to have you here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you near, near, near
I wish you were here",Wish You Were Here,2012
Lady Antebellum,pop,"Lying here with you so close to me
Its hard to fight these feelings
When it feels so hard to breathe
I'm caught up in this moment
Caught up in your smile

I've never opened up to anyone
So hard to hold back
when Im holding you in my arms
We dont need to rush this
Lets just take it slow

Just a kiss on your lips in the moonlight
Just a touch of the fire burning so bright
No I dont want to mess this thing up
No I dont want to push too far

Just a shot in the dark that you just might
Be the one Ive been waiting for my whole life
So baby Im alright with just a kiss goodnight

I know that if we give this a little time
Itll only bring us closer to the love we wanna find
Its never felt so real
No its never felt so right

Just a kiss on your lips in the moonlight
Just a touch of the fire burning so bright
No I dont want to mess this thing up
I dont want to push too far

Just a shot in the dark that you just might
Be the one Ive been waiting for my whole life
So baby Im alright with just a kiss goodnight

No I dont want to say goodnight
I know its time to leave
But youll be in my dreams
Tonight
Tonight
Tonight

Just a kiss on your lips in the moonlight
Just a touch of the fire burning so bright
No I dont want to mess this thing up
I dont want to push too far

Just a shot in the dark that you just might
Be the one Ive been waiting for my whole life
So baby Im alright
Ohh...
Lets do this right with just a kiss goodnight
With a kiss goodnight
A kiss goodnight",Just A Kiss,2012
David Guetta ,pop,"Doctor, doctor, need you bad, call me, babe
Doctor, doctor, where you at? Give me something
I need your love, I need your love, I need your loving
You got that kind of medicine that keeps me coming

My body needs a hero, come and save me
Something tells me you'll know how to save me
I've been feeling real low
Oh, I need you to come and rescue me

Make me come alive, come on and turn me on
Touch me, save my life, come on and turn me on
I'm too young to die, come on and turn me on
Turn me on, turn me on, turn me on, turn me on

Make me come alive, come on and turn me on
Touch me, save my life, come on and turn me on
I'm too young to die, come on and turn me on
Turn me on, turn me on, turn me on, turn me on

Boy, I'm aching, make it right
My temperature is super high
If I scream, if I cry
It's only 'cause I feel alive

My body needs a hero, come and save me
Something tells me you'll know how to save me
I've been feeling real low
Oh, I need you to come and rescue me

Make me come alive, come on and turn me on
Touch me, save my life, come on and turn me on
I'm too young to die, come on and turn me on
Turn me on, turn me on, turn me on, turn me on

Make me come alive, come on and turn me on
Touch me, save my life, come on and turn me on
I'm too young to die, come on and turn me on
Turn me on, turn me on, turn me on, turn me on

You've got my life in the palm of your hands
Come and save me now, I know you can

Don't let me die young
I just want you to father my young
I just want you to be my doctor
We can get it cracking chiropractor
I know you can save me and make me feel alive

Make me come alive, come on and turn me on
Touch me, save my life, come on and turn me on
I'm too young to die, come on and turn me on
Turn me on, turn me on, turn me on, turn me on",Turn Me On,2012
Nicki Minaj ,pop,"[Rihanna]
I came to win, to fight, to conquer, to thrive
I came to win, to survive, to prosper, to rise
To fly
To fly

[Nicki Minaj]
I wish today it will rain all day
Maybe that will kinda make the pain go away
Trying to forgive you for abandoning me
Praying but I think I'm still an angel away

Angel away, yeah strange in a way
Maybe that is why I chase strangers away
They got their guns out aiming at me
But I become near when they aiming at me

Me, me, me against them
Me against enemies, me against friends
Somehow they both seem to become one
A sea full of sharks and they all smell blood

They start coming and I start rising
Must be surprising, I'm just surmising
Win, thrive, soar, higher, higher, higher
More fire

[Rihanna]
I came to win, to fight, to conquer, to thrive
I came to win, to survive, to prosper, to rise
To fly
To fly

[Nicki Minaj]
Everybody wanna try to box me in
Suffocating everytime it locks me in
Paintin' they own pictures then they crop me in
But I will remain where the top begins

'Cause I am not a word, I am not a line
I am not a girl that can ever be defined
I am not fly, I am levitation
I represent an entire generation

I hear the criticism loud and clear
That is how I know that the time is near
So we become alive in a time of fear
And I ain't got no muthafucking time to spare

Cry my eyes out for days upon days
Such a heavy burden placed upon me
But when you go hard your nays become yays
Yankee Stadium with Jays and Kanyes

[Rihanna]
I came to win, to fight, to conquer, to thrive
I came to win, to survive, to prosper, to rise
To fly
To fly

[Nicki Minaj]
Get ready for it
Get ready for it
Get ready for it
I came to win

Get ready for it
Get ready for it
I came to win

[Rihanna]
I came to win, to fight, to conquer, to thrive
I came to win, to survive, to prosper, to rise
To fly
To fly",Fly,2012
Snoop Dogg & Wiz Khalifa ,pop,"Bruno Mars:
Is this thing on?
So what we get drunk. So what we smoke weed.
We're just having fun. We don't care who sees.
So what we go out. That's how it's supposed to be.
Living young and wild and free.

Wiz Khalifa:
Uh, uh huh. So what I keep 'em rolled up.
Saggin' my pants not caring what I show. Keep it real with my niggas.
Keep it player for the hoes. And look clean don't it?
Washed it the other day, watch how you lean on it,
Give me some 501's jeans on and roll joints bigger than King Kong's fingers.
And smoke them hoes down till they stingers,
You a class clown and if I skip for the day.
I'm with you bitch smokin' grade A.

Snoop Dogg:
Yeah, uh you know what? It's like I'm 17 again. Peach fuzz on my face.
Lookin', on the case, tryna find a hella taste.
Oh my God, I'm on the chase.
Chevy, it's gettin' kinda heavy.
Relevant, sellin' it, dippin' away.
Time keep slippin' away, zip in the safe, flippin' for pay.
Tippin' like I'm drippin' in paint.
Up front four blunts, like ""Khalifa put the weed in a J.""

Bruno Mars:
So what we get drunk. So what we smoke weed.
We're just having fun. We don't care who sees.
So what we go out. That's how it's supposed to be.
Living young and wild and free.

Wiz Khalifa:
And I don't even care 'cause if me and my team in there.
There's gonna be some weed in the air. Tell 'em Mac.

Snoop Dogg:
Blowin' everywhere we goin' and now you knowin'.
When I step right up, get my lighter so I can light up.

Wiz Khalifa:
That's how it should be done.
Soon as you thinkin' you're down.
Find how to turn things around.
Now things are lookin' up.

Snoop Dogg:
From the ground up, pound up,
This Taylor Gang.
So turn my sound up and mount up.
And do my thang.

Wiz Khalifa:
Now I'm chillin', fresh outta class, feelin'.
Like I'm on my own and I could probably own a buildin'.
Got my own car, no job, no children.
Had a science project, me and Mac killed it.

Snoop Dogg:
T-H-C, M-A-C,
D-E-V, H-D-3, high as me.
This is us, we gon' fuss.
And we gon' fight and we gon' roll and live off life.

Bruno Mars:
So what we get drunk. So what we smoke weed.
We're just having fun. We don't care who sees.
So what we go out. That's how it's supposed to be.
Living young and wild and free.

Wiz Khalifa:
Yeah, roll one, smoke one.
When you live like this you're supposed to party.
Roll one, smoke one, and we all just having fun.
So we just, roll one, smoke one.
When you live like this you're supposed to party.
Roll one, smoke one, and we all just having fun.

Bruno Mars:
So what we get drunk. So what we smoke weed.
We're just having fun. We don't care who sees.
So what we go out. That's how it's supposed to be.
Living young and wild and free.

Snoop Dogg:
Fun...
We don't care who sees.
We don't care who sees.
That's how it's supposed to be.
Living young and wild and free.","Young, Wild & Free",2012
Lady Gaga,pop,"It's been a long time since I came around
Been a long time but I'm back in town
This time I'm not leaving without you

You taste like whiskey when you kiss me, ohh
I'll give anything again to be your baby doll
This time I'm not leaving without you

He said sit back down where you belong
In the corner of my bar with your high heels on
Sit back down on the couch where we
Made love for first time and you said to me there's

Something, something about this place
Something 'bout lonely nights and my lipstick on your face
Something, something about my cool Nebraska guy
Yeah something about
Baby you and I

It's been two years since I let you go,
I couldn't listen to a joke or rock 'n' roll
Muscle cars drove a truck right through my heart

On my birthday you sang me a heart of gold
With a guitar humming and no clothes
This time I'm not leaving without you
Ohh-oh ohh-oh

Sit back down where you belong
In the corner of my bar with your high heels on
Sit back down on the couch where we
Made love for first time and you said to me there's

Something, something about this place
Something 'bout lonely nights and my lipstick on your face
Something, something about my cool Nebraska guy
Yeah something about
Baby you and I

You and I
You, you and I
You, you and I
You, you and I, I

You and I
You, you and I
Oh yeah! I'd rather die
Without you and I

C'mon!
Put your drinks up!

We got a whole lot of money, but we still pay rent
'Cause you can't buy a house in Heaven
There's only three men that Imma serve my whole life
It's my daddy and Nebraska and Jesus Christ there's

Something, something about the chase
Six whole years
I'm a New York woman, born to run you down
So have my lipstick all over your face
Something, something about just knowing when it's right

So put your drinks up, for Nebraska
For Nebraska, Nebraska, I love you

You and I
You, you and I
Baby! I rather die!
Without you and I

You and I
You, you and I
Nebraska! I rather die
Without you and I

It's been a long time since I came around
Been a long time but I'm back in town
This time I'm not leaving without you",You And I,2012
Big Time Rush ,pop,"[Big Time Rush]
Better with you
Better with you, yeah

I try to write this down, the words just don't come out 
It's hard to say how you feel (feel)
Been down the longest road
Said yes when I meant no
I lost control of the wheel (wheel)

'Cause you know that
Things get so bad, you've got my back
Make me wanna sing, and girl I'm singing 'bout you
No sweeter sound than what I found
No perfect love could be more perfect than ours

Ooh, baby 
It feels like (it feels like), it feels like
The music sounds better with U

Ooh, baby 
It feels right (it feels right), it feels right
Everything's better with U

I used to think that love
Was something fools made up 
'Cause all I knew was heartbreak 

I couldn't help myself
Let this heart go through Hell 
There's only so much a heart can take (ooh)

'Cause you know that
Things get so bad, you've got my back
Make me wanna sing, and girl I'm singing 'bout you
No sweeter sound than what I found
No perfect love could be more perfect than ours

Ooh, baby 
It feels like (it feels like), it feels like 
The music sounds better with U 

Ooh, baby 
It feels right (it feels right), it feels right
Everything's better with u

Every song 
Every rhyme
Every word
The music sounds better with U (U)

Every day (every day)
All of the time (all of the time) 
Everything
Music sounds better with U 

[Mann]
Uh...
She's my music enhancer 
When the music plays she's my dancer 
When I'm around her everything's faster 
Every question I have she's the answer
 
I'm head over heels 
Can't explain it, it's so surreal
When I'm around you baby you make me feel like

[Big Time Rush]
Everything's better with U

Ooh, baby it feels like, it feels like 
Music sounds better with U
Baby it feels right, it feels right
Everything's better with U
Ooh, baby it feels like (it feels like), it feels like

Music sounds better with U
Baby it feels right (it feels right), it feels right
Everything's better with U 

The music sounds better with U 
Music sounds better with U",Music Sounds Better With U,2012
Timbaland ,pop,"Pitbull
Timbaland
David Guetta
Mr. Worldwide
Here we go

Timbaland
Everybody say
Dance on the floor and give it up
Baby, put it down and give it up
Nigga, set the floor and take it up
Baby, put it down and give it up

Everybody say
Dance on the floor and give it up
Baby, put it down and give it up
Nigga, set the floor and take it up
Baby, put it down and give it up

Pitbull
So listen a couple girls
Who was in and I mess with a couple girls
Magazines, you can catch me on a couple girl
I created my own plane to cover the Earth and cover the world

I spit so sick so I put 'em on girls
She's tryna come over
And she burn my perms
She tryna come at

Of all of my hurts, place to be
But I made at my girls
Now she just wanna say
Just wanna please,
She want it, so she lives on her knees

Jack and Jill, went up the hill
Each back up in a corner, you came back with 250,
What a working girl, now work it girl
Like, ah ah ah, ah ah, ah ah ah, ah ah
Like, ah ah ah, ah ah, ah ah ah, ah ah

Timbaland
Hey girl, I like what you're doing, what are you doing, oh oh my God
Hey girl, I like what you're doing, what are you doing, oh oh my God
Oh oh my God
Oh oh my God

Oh oh my God
What are you doing?
I love, when you, make, a pass at me, a pass at me
I love, when you, make, a pass at me, a pass at me

I love when I see your pretty ass on the floor
I like when I see you break it down like you in control

Pitbull
I got a girl on the right and one cover left
With Timbaland and I'm out of breath
So go g-g-g-g-g-g-g-o, so g-g-g-g-g-g-g-o

I got a girl on the right and a girl on the left
And one in a middle, and I'm feeling their breath
So go g-g-g-g-g-g-g-o, so g-g-g-g-g-g-g-o

Timbaland
Hey girl, I like what you're doing, what are you doing, oh oh my God
Hey girl, I like what you're doing, what are you doing, oh oh my God
Oh oh my God
Oh oh my God

Oh oh my God
What are you doing?
I love, when you, make, a pass at me, a pass at me
I love, when you, make, a pass at me, a pass at me

I love, when you, make, a pass at me, a pass at me
I love, when you, make, a pass at me, a pass at me
I love, when you, make, a pass at me, a pass at me
I love...

Pass at me
Pass at me
Pass at me
Pass at me
Pass at me
Pass at me

Hey girl, I like what you're doing, what are you doing, oh oh my God
Hey girl, I like what you're doing, what are you doing, oh oh my God
Oh oh my God
Oh oh my God
Oh oh my God
What are you doing?

Oh oh my God
Oh oh my God
Oh oh my God
What are you doing?",Pass At Me,2012
Justin Bieber,pop,"Its the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow
But Ima be under the mistletoe

I dont wanna miss out on the holiday
But I cant stop staring at your face
I should be playing in the winter snow
But Ima be under the mistletoe

With you, shawty with you
With you, shawty with you
With you, under the mistletoe

Everyone's gathering around the fire
Chestnuts roasting like a hot July
I should be chillin' with my folks, I know
But Ima be under the mistletoe

Word on the street's Santa's coming tonight
Reindeer flying thru the sky so high
I should be making a list, I know
But Ima be under the mistletoe

With you, shawty with you
With you, shawty with you
With you, under the mistletoe

With you, shawty with you
With you, shawty with you
With you, under the mistletoe

Hey love, the wise men followed a star
The wise men followed a star
The way I followed my heart
And it led me to a miracle

Aye love, don't you buy me nothing
Don't you buy me nothing
'Cause I am feeling one thing, your lips on my lips
That's a Merry Merry Christmas

Its the most beautiful time of the year
Lights fill the streets, spreading so much cheer
I should be playing in the winter snow, I know
But Ima be under the mistletoe

I dont wanna miss out on the holiday
But I cant stop staring at your face
I should be playing in the winter snow
But Ima be under the mistletoe

With you, shawty with you
With you, shawty with you
With you, under the mistletoe

With you, shawty with you
With you (shawty with you)
With you, under the mistletoe
Under the mistletoe

Kiss me underneath the
Kiss me underneath the mistletoe
Show me baby that you love me so
Oh, oh, oh, oh, oh, oh yeah

Kiss me underneath the
Kiss me under the mistletoe
Show me baby that you love me so
Oh, oh, oh, oh, oh, oh",Mistletoe,2012
Bruno Mars,pop,"One, two, one, two, three

Oh yeah, yeah
Oh yeah, yeah, yeah, yeah (Oooh!)
Oh yeah, yeah
Oh yeah, yeah, yeah, yeah (Oooh!)

Never had much faith in love or miracles (Oooh!)
Never wanna put my heart on the line (Oooh!)
But swimming in your world is something spiritual (Oooh!)
I'm born again every time you spend the night (Oooh!)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make feel like
I've been locked out of heaven
For too long
For too long

Yeah, you make feel like
I've been locked out of heaven
For too long
For too long

Oh yeah, yeah, yeah, yeah (Oooh!)
Oh yeah, yeah
Oh yeah, yeah, yeah, yeah (Oooh!)

You bring me to my knees, you make me testify (Oooh!)
You can make a sinner change his ways (Oooh!)
Open up your gates 'cause I can't wait to see the light (Oooh!)
And right there is where I wanna stay (Oooh!)

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows
Yeah, yeah, yeah

'Cause you make feel like
I've been locked out of heaven
For too long
For too long

Yeah, you make feel like
I've been locked out of heaven
For too long
For too long

Ohohoho
Yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

Ohohoho
Yeah, yeah, yeah
Can't I just stay here?
Spend the rest of my days here?

'Cause you make feel like
I've been locked out of heaven
For too long
For too long

Yeah, you make feel like
I've been locked out of heaven
For too long
For too long

Oh yeah, yeah, yeah, yeah (Oooh!)
Oh yeah, yeah
Oh yeah, yeah, yeah, yeah (Oooh!)",Locked Out Of Heaven,2013
Rihanna,pop,"Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky

You're a shooting star, I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky

Palms rise to the universe
As we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky

You're a shooting star, I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

At first sight I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shining bright like a diamond
We're beautiful like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shine bright like a diamond, oh yeah

Shine bright like a diamond (oh)
Shine bright like a diamond (oh)
Shine bright like a diamond
Shine bright like a diamond",Diamonds,2013
The Lumineers,pop,"(Ho!)
(Hey!)
(Ho!)
(Hey!)

(Ho!) I've been trying to do it right
(Hey!) I've been living a lonely life
(Ho!) I've been sleeping here instead
(Hey!) I've been sleeping in my bed
(Ho!) I've been sleeping in my bed
(Hey!)

(Ho!)

(Ho!) So show me family
(Hey!) All the blood that I would bleed
(Ho!) I don't know where I belong
(Hey!) I don't know where I went wrong
(Ho!) But I can write a song
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet
(Ho!)

(Hey!)
(Ho!)
(Hey!)

(Ho!) I don't think you're right for him
(Hey!) Look at what it might have been if you
(Ho!) Took the bus to Chinatown
(Hey!) I've been standing on Canal
(Ho!) And Bowery
(Hey!)
(Ho!) And she'd be standing next to me
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweetheart

And love we need is now
Let's hope for some
'Cause oh, we're bleeding out

I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet
(Ho!)

(Hey!)
(Ho!)
(Last one...)
(Hey!)",Ho Hey,2013
Flo Rida,pop,"I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

I know you wanna get behind the wheel, only one Rida
Eyes shut, still got me swimming like a diver
Can't let go, I got fans in Okinawa
My heart to Japan quake losers and survivors

Norway, no you didn't get my flowers
No way to sound better but the killer was a coward
Face just showers, the minute in an hour
Heard about the news, all day went sour

Lil' mama got me feeling like a limit here
Put you in the box just like the president's cigarettes
Give 'em my regards or regardless I get arrested
Ain't worried about the killers, just the young and restless

Get mad 'cause the quarter million on my necklace
DUI never said I was driving reckless
You and I or jealousy was not oppressive
Oh no, I can't stop, I was destined

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go, go, go, go

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

Champagne buckets still got two tears in it
And I put that on my tattoo of Jimi Hendrix
Get depressed 'cause the outfit all in it
'Cause the press tell it all, get a meal ticket

Clean next, get a call, just a lil' visit
Sacrifice just to make a hit still vivid
Rihanna kiss you on ya neck, just kill critics
Bugatti never when I'm rich, just God fearing

Look at me steering, got the bossing staring
Mr. Mike Caren, tell his Billie jeans
I'm on another planet
Thank E-Class, Big Chuck, or Lee Prince Perries

Buy my momma chandeliers on my tears, dammit
Thirty years you had thought these emotions vanish
Tryna live, tryna figure how my sister vanish
No cheers, I know you wouldn't panic

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go, go, go, go

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

When I need a healing
I just look up the the ceiling
I see the sun coming down, I know
It's all better now

When I need a healing
I just look up the the ceiling
I see the sun coming down, I know
It's all better now

When I need a healing
I just look up the the ceiling
I see the sun coming down, I know
It's all better now

When I need a healing
I just look up the the ceiling
I see the sun coming down, I know
It's all better now

I know
I know
I know
I know
I, I, I, I
When I think of letting go, go, go

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go

I know
Caught up in the middle
I cry, just a little
When I think of letting go

Oh no
Gave up on the riddle
I cry, just a little
When I think of letting go",I Cry,2013
Ke$ha,pop,"I hear your heart beat to the beat of the drums
Oh, what a shame that you came here with someone
So while you're here in my arms
Let's make the most of the night like we're gonna die young
We're gonna die young
We're gonna die young
Let's make the most of the night like we're gonna die young

Let's make the most of the night like we're gonna die young

Young hearts, out our minds
Runnin' till we outta time
Wild childs, lookin' good
Livin' hard just like we should
Don't care whose watching when we tearing it up (you know)
That magic that we got nobody can touch (for sure)

Looking for some trouble tonight (yeah)
Take my hand, I'll show you the wild side
Like it's the last night of our lives (uh huh)
We'll keep dancing till we die

I hear your heart beat to the beat of the drums
Oh, what a shame that you came here with someone
So while you're here in my arms,
Let's make the most of the night like we're gonna die young
We're gonna die young
We're gonna die young
Let's make the most of the night like we're gonna die young

Let's make the most of the night like we're gonna die young

Young hunks, taking shots
Stripping down to dirty socks
Music up, gettin' hot
Kiss me, give me all you've got
It's pretty obvious that you've got a crush (you know)
That magic in your pants, it's making me blush (for sure)

Looking for some trouble tonight (yeah)
Take my hand I'll show you the wild side
Like it's the last night of our lives (uh huh)
We'll keep dancing till we die (till we die...)

I hear your heart beat to the beat of the drums
Oh, what a shame that you came here with someone
So while you're here in my arms,
Let's make the most of the night like we're gonna die young

I hear your heart beat to the beat of the drums
Oh, what a shame that you came here with someone
So while you're here in my arms
Let's make the most of the night like we're gonna die young
We're gonna die young
We're gonna die young
Let's make the most of the night like we're gonna die young",Die Young,2013
Ne-Yo,pop,"Much as you blame yourself, you can't be blamed for the way that you feel
Had no example of a love that was even remotely real
How can you understand something that you never had
Ooh baby if you let me, I can help you out with all of that

Girl let me love you
And I will love you
Until you learn to love yourself
Girl let me love you

And all your trouble
Don't be afraid, girl let me help
Girl let me love you
And I will love you

Until you learn to love yourself
Girl let me love you
A heart of numbness, gets brought to life
I'll take you there

Girl let me love you
Girl let me love you baby, oh
Girl let me love you
Girl let me love you baby
Girl let me love you
Let me love you, let me love you, oh

I can see the pain behind your eyes
It's been there for quite a while
I just wanna be the one to remind you what it is to smile
I would like to show you what true love can really do

Girl let me love you
And I will love you
Until you learn to love yourself
Girl let me love you

And all your trouble
Don't be afraid, girl let me help
Girl let me love you
And I will love you

Until you learn to love yourself
Girl let me love you
A heart of numbness, gets brought to life
I'll take you there

Girl let me love you baby
Girl let me love you
Let me love you, let me love you baby
Girl let me love you
Girl let me love you baby
Girl let me love you
Let me love you, girl let me love you baby

For every heart that beats
For every heart that beats
For every heart that beats
For every heart that beats

Heart that beats
Heart that beats
Heart that beats
Heart that beats

Girl let me love you
And I will love you
Until you learn to love yourself
Girl let me love you

And all your trouble
Don't be afraid, girl let me help
Girl let me love you
And I will love you

Until you learn to love yourself
Girl let me love you
A heart of numbness, gets brought to life
I'll take you there

Girl let me love you
Let me love you baby, love you baby
Girl let me love you
Let me love you baby, love you baby",Let Me Love You (Until You Learn To Love Yourself),2013
Maroon 5,pop,"Ooh, ooh ooh ooh, ooh ooh ooh ooh
Ooh, ooh ooh ooh, ooh ooh ooh ooh

You and I go hard at each other
Like we're going to war
You and I go rough, we keep throwing things
And slamming the door

You and I get so damn dysfunctional
We start keeping score
You and I get sick, yeah
I know that we can't do this no more, yeah

But baby, there you go again
There you go again making me love you
Yeah, I stopped using my head
Using my head, let it all go

I got you stuck on my body
On my body like a tattoo
And now I'm feeling stupid
Feeling stupid, crawling back to you

So I cross my heart and I hope to die
That I will only stay with you one more night
And I know I said it a million times
But I'll only stay with you one more night

Try to tell you no
But my body keeps on telling you yes
Try to tell you to stop
But your lipstick got me so out of breath

I'd be waking up in the morning
Probably hating myself
And I'd be waking up
Feeling satisfied but guilty as hell, yeah

But baby, there you go again
There you go again, making me love you (making me love you)
Yeah, I stopped using my head
Using my head, let it all go (let it all go)

I got you stuck on my body
On my body like a tattoo (like a tattoo, yeah)
And now I'm feeling stupid
Feeling stupid, crawling back to you

So I cross my heart and I hope to die
That I will only stay with you one more night (oh)
And I know I said it a million times (yeah)
But I'll only stay with you one more night


(Ooh, ooh ooh ooh, ooh ooh ooh ooh)
Yeah baby, give me one more night
(Ooh, ooh ooh ooh, ooh ooh ooh ooh)
Yeah baby, give me one more night
(Ooh, ooh ooh ooh, ooh ooh ooh ooh)
Yeah baby, give me one more night
(Ooh, ooh ooh ooh, ooh ooh ooh ooh)

But baby, there you go again
There you go again making me love you
Yeah, I stopped using my head
Using my head, let it all go

Got you stuck on my body
On my body like a tattoo
Yeah, yeah, yeah, yeah

So I cross my heart and I hope to die (oh, oh)
That I will only stay with you one more night (oh, oh)
And I know I said it a million times (a million times)
But I'll only stay with you for one more night
(Yeah baby, give me one more night)

So I cross my heart and I hope to die
That Ill only stay with you one more night (yeah, yeah)
And I know I said it a million times (yeah, yeah)
But Ill only stay with you one more night

I don't know, whatever",One More Night,2013
Phillip Phillips,pop,"Hold on to me as we go
As we roll down this unfamiliar road
And although this wave is stringing us along
Just know you're not alone
'Cause I'm gonna make this place your home

Settle down, it'll all be clear
Don't pay no mind to the demons
They fill you with fear
The trouble it might drag you down
If you get lost, you can always be found

Just know you're not alone
'Cause I'm gonna make this place your home

Settle down, it'll all be clear
Don't pay no mind to the demons
They fill you with fear
The trouble it might drag you down
If you get lost, you can always be found

Just know you're not alone
'Cause I'm gonna make this place your home

(Come on!)",Home,2013
Justin Bieber ,pop,"Nicki Minaj:
Yeah
Young Money
Nicki Minaj
Justin

Justin Bieber:
Show you off, tonight I wanna show you off
What you got, a billion could've never bought
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, be young tonight
I'm coming for ya, I'm coming for ya

'Cause all I need is a beauty and a beat
Who can make my life complete
It's all about you, when the music makes you move
Baby do it like you do
'Cause...

Body rock, girl, I can feel your body rock
Take a bow, you on the hottest ticket now
We gonna party like it's 3012 tonight
I wanna show you all the finer things in life
So just forget about the world, be young tonight
I'm coming for ya, I'm coming for ya

'Cause all I need is a beauty and a beat
Who can make my life complete
It's all about you, when the music makes you move
Baby do it like you do

Nicki Minaj:
In time, ink lines, bitches couldn't get on my incline
World tour, it's mine, ten little letters, on a big sign
Justin Bieber, you know imma hit 'em with the ether
Buns out, weiner, but I gotta keep my eye out for Selena
Beauty, beauty and the beast

Beauty from the east, beautiful confessions of the priest
Beast, beauty from the streets, we don't get deceased
Every time a beauty on the beats
(Yeah, yeah, yeah, let's go, let's go)

Justin Bieber:
Body rock, girl, I wanna feel your body rock
'Cause all I need is a beauty and a beat
Who can make my life complete
It's all about you, when the music makes you move
Baby do it like you do
'Cause...",Beauty And A Beat,2013
